x_pos,y_pos,z_pos,x_or,y_or,z_or,w_or
0.35555293994571263,0.40840825066687886,0.003998458352067143,-0.003235881082963515,0.002093944769537811,0.8385405565978148,0.5448255495197943
0.35555181010990977,0.4084107655602363,0.0039984583096685025,-0.0032358761231003996,0.002093953044685432,0.8385391823375877,0.5448276646343984
0.3555451605110154,0.4084255677208529,0.003998458059968384,-0.0032358468954953377,0.0020940018053259768,0.838531084317178,0.5448401280056062
0.3555385049156993,0.40844038471443955,0.00399845781023167,-0.003235817575913488,0.002094050703056637,0.8385229621137502,0.544852628188807
0.35553184331995424,0.4084552165564263,0.003998457559949438,-0.0032357881676445166,0.002094099743866555,0.8385148156980798,0.544865165225317
0.3555251757197938,0.4084700632620982,0.003998457309119782,-0.0032357586705926067,0.0020941489279281645,0.838506645040143,0.5448777391577092
0.3555185021112389,0.4084849248467432,0.00399845705774126,-0.0032357290846543496,0.0020941982554065867,0.8384984501099155,0.5448903500285424
0.35551182249017194,0.4084998013259237,0.003998456806076543,-0.0032356994079692047,0.0020942477233741154,0.8384902308785256,0.5449029978786051
0.3555051368522287,0.40851469271578494,0.00399845655425405,-0.00323566963960308,0.002094297330465528,0.8384819873198622,0.5449156827444127
0.35549844519352597,0.4085295990315312,0.003998456301879581,-0.0032356397820502937,0.0020943470814295657,0.8384737194036037,0.5449284046688979
0.3554917475087224,0.40854452029162786,0.003998456048911123,-0.003235609835644955,0.0020943969771602578,0.8384654270864291,0.5449411637150063
0.35548504378290435,0.40855945653612813,0.003998455795252875,-0.0032355798009126562,0.0020944470195981275,0.8384571102356652,0.5449539600831353
0.3554783340011355,0.40857440780496884,0.003998455541562307,-0.003235549672785412,0.002094497201481702,0.8384487687258705,0.5449667939625858
0.35547161815203465,0.4085893741302968,0.0039984552874017185,-0.0032355194537243698,0.002094547528571021,0.838440402460582,0.5449796654979454
0.35546489622581434,0.4086043555406942,0.003998455032612518,-0.0032354891443886935,0.0020945980032812746,0.8384320113545337,0.5449925748165678
